p,partial_sum_inv_p
2,0.5
3,0.8333333333333333
5,1.0333333333333332
11,1.124242424242424
23,1.1677206851119892
29,1.202203443732679
41,1.226593687635118
53,1.2454616121634199
83,1.2575098049345041
89,1.268745759990684
113,1.2775953175128079
131,1.2852289052990673
173,1.2910092521198766
179,1.2965958442986476
191,1.3018314463928884
233,1.3061232918864507
239,1.3103073923048607
251,1.3142914560498806
281,1.3178501749110907
293,1.3212631441943672
359,1.3240486595147014
419,1.32643529435957
431,1.3287554799744192
443,1.3310128163175343
491,1.3330494761953346
509,1.3350141127375743
593,1.3367004533783837
641,1.3382605157808798
653,1.3397919093490267
659,1.3413093600318795
683,1.3427734888752176
719,1.3441643094593623
743,1.3455102044795506
761,1.3468242649263311
809,1.3480603588694708
911,1.3491580537103052
953,1.350207371653642
1013,1.3511945384848365
1019,1.3521758927537275
1031,1.3531458248584802
1049,1.3540991137050007
1103,1.3550057320186906
1223,1.3558233935068345
1229,1.3566370631569564
1289,1.3574128583470262
1409,1.3581225815549751
1439,1.3588175085876366
1451,1.3595066884635842
1481,1.3601819079099042
1499,1.3608490193175093
1511,1.3615108326861394
1559,1.3621522695046127
1583,1.3627839814439684
1601,1.3634085910629565
1733,1.3639856251079652
1811,1.364537806223371
1889,1.3650671868480402
1901,1.3655932257749208
1931,1.366111092165392
1973,1.3666179345374143
2003,1.3671171856607294
2039,1.3676076221492042
2063,1.3680923531235134
2069,1.3685756784014254
2129,1.369045382487851
2141,1.3695124539497847
2273,1.36995240115612
2339,1.3703799342899379
2351,1.3708052852044423
2393,1.3712231707038156
2399,1.3716400110539615
2459,1.3720466804317573
2543,1.3724399167667947
2549,1.372832227476877
2693,1.373203560562655
2699,1.3735740681580606
2741,1.373938898511946
2753,1.3743021386136534
2819,1.3746568743355405
2903,1.3750013455721923
2939,1.3753415973585141
2963,1.3756790931398168
2969,1.3760159068818174
3023,1.3763467041031208
3299,1.3766498262613505
3329,1.3769502167690104
3359,1.377247924420097
3389,1.3775429967128088
3413,1.3778359940758325
3449,1.3781259331886189
3491,1.378412384062294
3539,1.3786949497588183
3593,1.378973268712339
3623,1.3792492830650853
3761,1.3795151697973373
3779,1.37977979006725
3803,1.3800427403696427
3821,1.3803044519634664
3851,1.380564124775723
3863,1.380822990941915
3911,1.3810786800239911
4019,1.3813274981379497
4073,1.3815730174112126
4211,1.3818104906954682
4271,1.38204462789987
4349,1.3822745658166324
4373,1.3825032417827885
4391,1.382730980338926
4409,1.3829577891391076
4481,1.3831809536113235
4733,1.3833922360960056
4793,1.3836008736925005
4871,1.383806170346165
4919,1.3840094636984723
4943,1.384211769990198
5003,1.3844116500621548
5039,1.384610102135979
5051,1.3848080827338802
5081,1.38500489438513
5171,1.385198280577356
5231,1.38538944861406
5279,1.3855788784303131
5303,1.3857674509364417
5333,1.3859549626559242
5399,1.386140182141014
5441,1.3863239718855462
5501,1.3865057570155226
5639,1.386683093422687
5711,1.3868581941055798
5741,1.3870323797875168
5849,1.3872033491839948
5903,1.387372754571086
6053,1.3875379619062918
6101,1.3877018694624301
6113,1.3878654552631826
6131,1.38802856079246
6173,1.3881905565805697
6263,1.3883502244713568
6269,1.3885097395455313
6323,1.3886678923211124
6329,1.3888258951651635
6449,1.3889809579655976
6491,1.3891350174325519
6521,1.3892883681456327
6551,1.389441016596251
6563,1.389593385939539
6581,1.3897453385303307
6761,1.3898932456446629
6899,1.39003819418793
6983,1.3901813991141796
7043,1.390323384063775
7079,1.3904646469540136
7103,1.3906054325375699
7121,1.3907458622524975
7151,1.3908857028342343
7193,1.3910247268853952
7211,1.3911634039066127
7349,1.391299476841706
7433,1.3914340120226558
7541,1.3915666204300288
7643,1.3916974591059414
7649,1.3918281951498688
7691,1.3919582172536265
7823,1.3920860454525272
7841,1.3922135802057476
7883,1.392340435463898
7901,1.3924670017213336
8069,1.3925909328156452
8093,1.3927144963891036
8111,1.3928377857492318
8243,1.3929591008044302
8273,1.3930799759404147
8513,1.3931974433432104
8663,1.393312876795825
8693,1.393427911881526
8741,1.3935423152678663
8951,1.3936540346288315
8969,1.3937655297787925
9029,1.393876284015142
9059,1.3939866714751266
9221,1.3940951195827072
9293,1.3942027274596038
9371,1.3943094396568079
9419,1.3944156080398633
9473,1.3945211712194263
9479,1.3946266675798018
9539,1.394731500371499
9629,1.39483535331573
9689,1.3949385631413054
9791,1.3950406977547258
10061,1.3951400914531653
10091,1.3952391896594878
10163,1.395337585802359
10253,1.3954351182318918
10271,1.3955324797351534
10313,1.39562944473079
10331,1.3957262407815112
10529,1.395821216562687
10589,1.3959156541866364
10613,1.3960098782514625
10691,1.3961034148710492
10709,1.3961967942715534
10733,1.3962899648669136
10781,1.3963827206409605
10799,1.3964753218077353
10883,1.3965672082361098
11171,1.3966567257367812
11321,1.3967450571562672
11369,1.396833015639863
11393,1.3969207888339294
11471,1.3970079651917011
11519,1.3970947782831153
11549,1.3971813658664558
11579,1.3972677291102593
11699,1.3973532065014893
11783,1.3974380745317023
11801,1.3975228131131785
11813,1.39760746561466
11831,1.3976919893235604
11909,1.3977759594302024
11939,1.3978597185390054
12011,1.3979429755534087
