p,p_mod_20,principal,nonprincipal
3,3,False,True
7,7,False,True
23,3,False,True
29,9,True,False
41,1,True,False
43,3,False,True
47,7,False,True
61,1,True,False
67,7,False,True
83,3,False,True
89,9,True,False
101,1,True,False
103,3,False,True
107,7,False,True
109,9,True,False
127,7,False,True
149,9,True,False
163,3,False,True
167,7,False,True
181,1,True,False
223,3,False,True
227,7,False,True
229,9,True,False
241,1,True,False
263,3,False,True
269,9,True,False
281,1,True,False
283,3,False,True
307,7,False,True
347,7,False,True
349,9,True,False
367,7,False,True
383,3,False,True
389,9,True,False
401,1,True,False
409,9,True,False
421,1,True,False
443,3,False,True
449,9,True,False
461,1,True,False
463,3,False,True
467,7,False,True
487,7,False,True
503,3,False,True
509,9,True,False
521,1,True,False
523,3,False,True
541,1,True,False
547,7,False,True
563,3,False,True
569,9,True,False
587,7,False,True
601,1,True,False
607,7,False,True
641,1,True,False
643,3,False,True
647,7,False,True
661,1,True,False
683,3,False,True
701,1,True,False
709,9,True,False
727,7,False,True
743,3,False,True
761,1,True,False
769,9,True,False
787,7,False,True
809,9,True,False
821,1,True,False
823,3,False,True
827,7,False,True
829,9,True,False
863,3,False,True
881,1,True,False
883,3,False,True
887,7,False,True
907,7,False,True
929,9,True,False
941,1,True,False
947,7,False,True
967,7,False,True
983,3,False,True
1009,9,True,False
1021,1,True,False
1049,9,True,False
1061,1,True,False
1063,3,False,True
1069,9,True,False
1087,7,False,True
1103,3,False,True
1109,9,True,False
1123,3,False,True
1129,9,True,False
1163,3,False,True
1181,1,True,False
1187,7,False,True
1201,1,True,False
1223,3,False,True
1229,9,True,False
1249,9,True,False
1283,3,False,True
1289,9,True,False
1301,1,True,False
1303,3,False,True
1307,7,False,True
1321,1,True,False
1327,7,False,True
1361,1,True,False
1367,7,False,True
1381,1,True,False
1409,9,True,False
1423,3,False,True
1427,7,False,True
1429,9,True,False
1447,7,False,True
1481,1,True,False
1483,3,False,True
1487,7,False,True
1489,9,True,False
1523,3,False,True
1543,3,False,True
1549,9,True,False
1567,7,False,True
1583,3,False,True
1601,1,True,False
1607,7,False,True
1609,9,True,False
1621,1,True,False
1627,7,False,True
1663,3,False,True
1667,7,False,True
1669,9,True,False
1709,9,True,False
1721,1,True,False
1723,3,False,True
1741,1,True,False
1747,7,False,True
1783,3,False,True
1787,7,False,True
1789,9,True,False
1801,1,True,False
1823,3,False,True
1847,7,False,True
1861,1,True,False
1867,7,False,True
1889,9,True,False
1901,1,True,False
1907,7,False,True
1949,9,True,False
1987,7,False,True
2003,3,False,True
2027,7,False,True
2029,9,True,False
2063,3,False,True
2069,9,True,False
2081,1,True,False
2083,3,False,True
2087,7,False,True
2089,9,True,False
2129,9,True,False
2141,1,True,False
2143,3,False,True
2161,1,True,False
2203,3,False,True
2207,7,False,True
2221,1,True,False
2243,3,False,True
2267,7,False,True
2269,9,True,False
2281,1,True,False
2287,7,False,True
2309,9,True,False
2341,1,True,False
2347,7,False,True
2381,1,True,False
2383,3,False,True
2389,9,True,False
2423,3,False,True
2441,1,True,False
2447,7,False,True
2467,7,False,True
2503,3,False,True
2521,1,True,False
2543,3,False,True
2549,9,True,False
2609,9,True,False
2621,1,True,False
2647,7,False,True
2663,3,False,True
2683,3,False,True
2687,7,False,True
2689,9,True,False
2707,7,False,True
2729,9,True,False
2741,1,True,False
2749,9,True,False
2767,7,False,True
2789,9,True,False
2801,1,True,False
2803,3,False,True
2843,3,False,True
2861,1,True,False
2887,7,False,True
2903,3,False,True
2909,9,True,False
2927,7,False,True
2963,3,False,True
2969,9,True,False
3001,1,True,False
3023,3,False,True
3041,1,True,False
3049,9,True,False
3061,1,True,False
3067,7,False,True
3083,3,False,True
3089,9,True,False
3109,9,True,False
3121,1,True,False
3163,3,False,True
3167,7,False,True
3169,9,True,False
3181,1,True,False
